,model,conclusion_type,yes_prob,prompt,premise_1,premise_2,premise_3,conclusion
25,gpt,specific,0.9059774875640869,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that mice and rhinos have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",mouse,rhino,,horse
26,gpt,specific,0.9036309123039246,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that squirrels and dolphins have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",squirrel,dolphin,,horse
27,gpt,specific,0.9031268358230591,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that squirrels and seals have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",squirrel,seal,,horse
28,gpt,specific,0.9042209386825562,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that squirrels and elephants have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",squirrel,elephant,,horse
29,gpt,specific,0.8978583812713623,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that squirrels and rhinos have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",squirrel,rhino,,horse
30,gpt,specific,0.9245939254760742,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that dolphins and seals have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",dolphin,seal,,horse
31,gpt,specific,0.9267515540122986,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that dolphins and elephants have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",dolphin,elephant,,horse
32,gpt,specific,0.9193664789199829,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that dolphins and rhinos have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",dolphin,rhino,,horse
33,gpt,specific,0.9168463945388794,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that seals and elephants have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",seal,elephant,,horse
34,gpt,specific,0.9108288884162903,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that seals and rhinos have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",seal,rhino,,horse
35,gpt,specific,0.9186762571334839,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that elephants and rhinos have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",elephant,rhino,,horse
36,gpt,general,0.9153695106506348,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, cows and mice have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,cow,mouse,all mammals
37,gpt,general,0.9211172461509705,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, cows and seals have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,cow,seal,all mammals
38,gpt,general,0.9147270917892456,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, cows and rhinos have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,cow,rhino,all mammals
39,gpt,general,0.9201934337615967,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, chimps and squirrels have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,chimp,squirrel,all mammals
40,gpt,general,0.9263916611671448,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, chimps and seals have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,chimp,seal,all mammals
41,gpt,general,0.9279147386550903,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, gorillas and squirrels have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,gorilla,squirrel,all mammals
42,gpt,general,0.9330630302429199,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, gorillas and dolphins have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,gorilla,dolphin,all mammals
43,gpt,general,0.9125845432281494,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, mice and squirrels have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,mouse,squirrel,all mammals
44,gpt,general,0.9200834035873413,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, mice and seals have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,mouse,seal,all mammals
45,gpt,general,0.9142135977745056,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, mice and rhinos have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,mouse,rhino,all mammals
46,gpt,general,0.9174196720123291,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, squirrels and seals have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,squirrel,seal,all mammals
47,gpt,general,0.9157537221908569,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, squirrels and elephants have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,squirrel,elephant,all mammals
48,gpt,general,0.9252316355705261,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, dolphins and seals have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,dolphin,seal,all mammals
49,gpt,general,0.9246166348457336,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, dolphins and elephants have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,dolphin,elephant,all mammals
50,gpt,general,0.9272162914276123,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows, chimps and dolphins have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",cow,chimp,dolphin,all mammals
51,gpt,general,0.9270340800285339,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows, chimps and seals have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",cow,chimp,seal,all mammals
52,gpt,general,0.9251967668533325,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows, chimps and elephants have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",cow,chimp,elephant,all mammals
53,gpt,general,0.922073483467102,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows, mice and seals have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",cow,mouse,seal,all mammals
54,gpt,general,0.9155585765838623,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows, mice and rhinos have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",cow,mouse,rhino,all mammals
55,gpt,general,0.9177153706550598,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows, squirrels and dolphins have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",cow,squirrel,dolphin,all mammals
56,gpt,general,0.9127196073532104,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows, squirrels and rhinos have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",cow,squirrel,rhino,all mammals
57,gpt,general,0.9259430766105652,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows, dolphins and elephants have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",cow,dolphin,elephant,all mammals
58,gpt,general,0.9211753010749817,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows, dolphins and rhinos have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",cow,dolphin,rhino,all mammals
59,gpt,general,0.923159122467041,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows, seals and elephants have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",cow,seal,elephant,all mammals
60,gpt,general,0.9187938570976257,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows, elephants and rhinos have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",cow,elephant,rhino,all mammals
61,gpt,general,0.9380165338516235,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that chimps, gorillas and squirrels have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",chimp,gorilla,squirrel,all mammals
62,gpt,general,0.9427723288536072,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that chimps, gorillas and dolphins have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",chimp,gorilla,dolphin,all mammals
63,gpt,general,0.9434613585472107,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that chimps, gorillas and seals have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",chimp,gorilla,seal,all mammals
64,gpt,general,0.9283465147018433,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that chimps, squirrels and dolphins have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",chimp,squirrel,dolphin,all mammals
65,gpt,general,0.9268283247947693,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that chimps, squirrels and elephants have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",chimp,squirrel,elephant,all mammals
66,gpt,general,0.9255670309066772,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that chimps, squirrels and rhinos have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",chimp,squirrel,rhino,all mammals
67,gpt,general,0.9348090887069702,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that chimps, dolphins and elephants have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",chimp,dolphin,elephant,all mammals
68,gpt,general,0.9474064111709595,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that gorillas, mice and seals have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",gorilla,mouse,seal,all mammals
69,gpt,general,0.9445263743400574,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that gorillas, mice and elephants have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",gorilla,mouse,elephant,all mammals
70,gpt,general,0.9421100616455078,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that gorillas, squirrels and dolphins have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",gorilla,squirrel,dolphin,all mammals
71,gpt,general,0.94701087474823,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that gorillas, seals and elephants have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",gorilla,seal,elephant,all mammals
72,gpt,general,0.9439844489097595,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that gorillas, elephants and rhinos have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",gorilla,elephant,rhino,all mammals
73,gpt,general,0.916515588760376,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that mice, squirrels and seals have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",mouse,squirrel,seal,all mammals
74,gpt,general,0.9246847629547119,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that mice, dolphins and seals have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",mouse,dolphin,seal,all mammals
75,gpt,general,0.9204310178756714,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that mice, seals and elephants have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",mouse,seal,elephant,all mammals
76,gpt,general,0.9171963334083557,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that mice, seals and rhinos have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",mouse,seal,rhino,all mammals
77,gpt,general,0.9161856770515442,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that mice, elephants and rhinos have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",mouse,elephant,rhino,all mammals
78,gpt,general,0.9174010753631592,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that squirrels, dolphins and seals have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",squirrel,dolphin,seal,all mammals
79,gpt,general,0.9116299152374268,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that squirrels, dolphins and rhinos have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",squirrel,dolphin,rhino,all mammals
80,gpt,general,0.9115904569625854,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that squirrels, seals and rhinos have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",squirrel,seal,rhino,all mammals
81,gpt2,specific,0.5417270064353943,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows and chimps have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",cow,chimp,,horse
82,gpt2,specific,0.552000105381012,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows and gorillas have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",cow,gorilla,,horse
83,gpt2,specific,0.5488851070404053,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows and mice have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",cow,mouse,,horse
84,gpt2,specific,0.5643123388290405,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows and squirrels have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",cow,squirrel,,horse
85,gpt2,specific,0.5493846535682678,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows and dolphins have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",cow,dolphin,,horse
86,gpt2,specific,0.565396249294281,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows and seals have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",cow,seal,,horse
87,gpt2,specific,0.5565022230148315,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows and elephants have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",cow,elephant,,horse
88,gpt2,specific,0.5644887089729309,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows and rhinos have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",cow,rhino,,horse
89,gpt2,specific,0.5056331157684326,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that chimps and gorillas have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",chimp,gorilla,,horse
90,gpt2,specific,0.5025472640991211,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that chimps and mice have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",chimp,mouse,,horse
91,gpt2,specific,0.5135817527770996,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that chimps and squirrels have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",chimp,squirrel,,horse
92,gpt2,specific,0.5043772459030151,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that chimps and dolphins have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",chimp,dolphin,,horse
93,gpt2,specific,0.5157952308654785,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that chimps and seals have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",chimp,seal,,horse
94,gpt2,specific,0.5102419853210449,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that chimps and elephants have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",chimp,elephant,,horse
95,gpt2,specific,0.515454113483429,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that chimps and rhinos have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",chimp,rhino,,horse
96,gpt2,specific,0.5192023515701294,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that gorillas and mice have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",gorilla,mouse,,horse
97,gpt2,specific,0.5287387371063232,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that gorillas and squirrels have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",gorilla,squirrel,,horse
98,gpt2,specific,0.5194070339202881,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that gorillas and dolphins have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",gorilla,dolphin,,horse
99,gpt2,specific,0.5348631143569946,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that gorillas and seals have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",gorilla,seal,,horse
100,gpt2,specific,0.5233489274978638,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that gorillas and elephants have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",gorilla,elephant,,horse
101,gpt2,specific,0.52898108959198,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that gorillas and rhinos have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",gorilla,rhino,,horse
102,gpt2,specific,0.541445791721344,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that mice and squirrels have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",mouse,squirrel,,horse
103,gpt2,specific,0.5252156853675842,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that mice and dolphins have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",mouse,dolphin,,horse
104,gpt2,specific,0.5387120842933655,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that mice and seals have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",mouse,seal,,horse
105,gpt2,specific,0.5322532653808594,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that mice and elephants have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",mouse,elephant,,horse
106,gpt2,specific,0.5440841913223267,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that mice and rhinos have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",mouse,rhino,,horse
107,gpt2,specific,0.5529451966285706,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that squirrels and dolphins have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",squirrel,dolphin,,horse
108,gpt2,specific,0.564848780632019,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that squirrels and seals have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",squirrel,seal,,horse
109,gpt2,specific,0.5553956627845764,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that squirrels and elephants have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",squirrel,elephant,,horse
110,gpt2,specific,0.5617426633834839,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that squirrels and rhinos have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",squirrel,rhino,,horse
111,gpt2,specific,0.5225876569747925,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that dolphins and seals have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",dolphin,seal,,horse
